id,px,py,pz,rx,ry,rz
0,-0.204487,0.821479,0.723891,-0.97271,0.010496,-0.08025,0.217453
0,-0.113684,0.795178,0.692229,-0.933214,0.120086,0.177659,0.288321
1,-0.226537,0.817864,0.764584,-0.970258,0.058282,-0.085797,0.218727
2,-0.175973,0.806387,0.698234,-0.953188,0.082299,0.020325,0.290253
3,-0.225723,0.816725,0.710291,-0.957864,0.050562,-0.104173,0.262845
4,-0.208211,0.813578,0.707674,-0.958406,0.060949,-0.062161,0.271807
5,-0.20166,0.817728,0.743698,-0.969012,0.067035,-0.041027,0.234177
6,-0.09024,0.801357,0.7354,-0.946732,0.110416,0.190174,0.235246
7,-0.276432,0.829801,0.715339,-0.949751,0.026785,-0.214958,0.225938
8,-0.288504,0.830665,0.716098,-0.945788,0.021959,-0.237816,0.220105
9,-0.299245,0.827097,0.801855,-0.964303,0.041672,-0.191613,0.177953
